TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT
1610612763,MEM,Memphis Grizzlies,73,34,39,240.7,8.1,21.4,0.378,18.4,2.3,7.8,0.293,0.431
1610612748,MIA,Miami Heat,73,44,29,243.1,7.7,20.9,0.367,18.3,3.0,8.7,0.341,0.438
1610612749,MIL,Milwaukee Bucks,73,56,17,241.0,9.2,23.5,0.392,22.4,3.9,11.7,0.336,0.476
1610612750,MIN,Minnesota Timberwolves,64,19,45,243.1,6.6,19.1,0.348,16.7,3.5,10.7,0.327,0.439
1610612740,NOP,New Orleans Pelicans,72,30,42,242.1,7.9,21.9,0.36,19.0,3.2,9.7,0.331,0.434
1610612752,NYK,New York Knicks,66,21,45,241.9,8.2,22.7,0.364,18.6,2.1,6.9,0.306,0.41
1610612760,OKC,Oklahoma City Thunder,72,44,28,242.1,10.9,25.4,0.428,24.7,2.9,8.8,0.33,0.485
1610612753,ORL,Orlando Magic,73,33,40,240.7,8.7,23.3,0.372,19.9,2.6,8.2,0.318,0.428
1610612755,PHI,Philadelphia 76ers,73,43,30,241.0,7.3,19.5,0.377,16.4,1.7,5.5,0.318,0.421
1610612756,PHX,Phoenix Suns,73,34,39,241.0,8.1,20.3,0.4,18.3,2.1,6.1,0.343,0.452
1610612757,POR,Portland Trail Blazers,74,35,39,241.0,12.8,31.9,0.4,30.6,5.1,14.1,0.359,0.479
1610612758,SAC,Sacramento Kings,72,31,41,242.4,8.8,23.2,0.38,21.0,3.4,10.2,0.332,0.453
1610612759,SAS,San Antonio Spurs,71,32,39,242.5,11.7,28.1,0.417,25.8,2.3,6.5,0.362,0.459
1610612761,TOR,Toronto Raptors,72,53,19,241.4,6.1,17.8,0.341,15.6,3.5,10.4,0.334,0.439
1610612762,UTA,Utah Jazz,72,44,28,241.0,9.6,25.2,0.382,23.7,4.4,13.1,0.338,0.47
1610612764,WAS,Washington Wizards,72,25,47,241.0,9.7,26.0,0.374,22.2,2.8,8.6,0.318,0.427
1610612737,ATL,Atlanta Hawks,82,29,53,242.1,6.9,20.0,0.347,17.2,3.4,10.6,0.316,0.431
1610612738,BOS,Boston Celtics,82,49,33,241.2,9.7,25.5,0.379,22.1,2.8,8.6,0.324,0.434
1610612751,BKN,Brooklyn Nets,82,42,40,243.7,8.3,22.8,0.365,20.6,3.9,11.8,0.334,0.451
1610612766,CHA,Charlotte Hornets,82,39,43,241.8,9.7,25.7,0.379,23.1,3.6,11.4,0.32,0.45
1610612741,CHI,Chicago Bulls,82,22,60,242.7,8.1,22.0,0.368,18.3,2.1,6.4,0.334,0.416
1610612739,CLE,Cleveland Cavaliers,82,19,63,240.9,9.7,25.7,0.377,22.7,3.3,9.6,0.341,0.441
1610612742,DAL,Dallas Mavericks,82,33,49,241.2,8.3,23.2,0.36,20.3,3.6,11.2,0.322,0.438
1610612743,DEN,Denver Nuggets,82,54,28,240.6,8.1,21.4,0.378,18.3,2.1,7.1,0.296,0.427
1610612765,DET,Detroit Pistons,82,41,41,242.1,8.0,21.5,0.371,19.3,3.3,10.0,0.329,0.447
1610612744,GSW,Golden State Warriors,82,57,25,241.5,11.6,26.8,0.432,26.7,3.5,9.6,0.369,0.497
1610612745,HOU,Houston Rockets,82,53,29,241.8,9.7,27.1,0.358,26.5,7.1,21.0,0.341,0.49
1610612754,IND,Indiana Pacers,82,48,34,240.3,7.8,21.1,0.371,17.7,2.0,6.5,0.312,0.419
1610612746,LAC,LA Clippers,82,48,34,241.8,9.4,23.4,0.404,21.2,2.3,6.5,0.356,0.454
1610612747,LAL,Los Angeles Lakers,82,37,45,241.2,7.7,21.0,0.364,18.1,2.7,8.4,0.328,0.429
1610612763,MEM,Memphis Grizzlies,82,33,49,242.4,7.1,20.3,0.348,16.5,2.4,7.8,0.307,0.406
1610612748,MIA,Miami Heat,82,39,43,240.6,6.9,19.6,0.35,16.1,2.4,8.0,0.298,0.411
1610612749,MIL,Milwaukee Bucks,82,60,22,241.2,7.3,20.1,0.364,18.2,3.5,10.1,0.345,0.451
1610612750,MIN,Minnesota Timberwolves,82,36,46,241.8,7.9,22.0,0.357,17.5,1.8,6.1,0.295,0.398
1610612740,NOP,New Orleans Pelicans,82,33,49,240.9,7.3,20.3,0.358,16.9,2.3,7.6,0.305,0.416
1610612752,NYK,New York Knicks,82,17,65,241.2,9.8,25.9,0.377,22.2,2.6,7.8,0.339,0.428
1610612760,OKC,Oklahoma City Thunder,82,49,33,242.1,8.4,23.6,0.356,19.5,2.7,8.4,0.318,0.412
1610612753,ORL,Orlando Magic,82,42,40,241.2,7.9,21.5,0.368,18.5,2.7,8.0,0.332,0.43
1610612755,PHI,Philadelphia 76ers,82,51,31,241.5,8.2,21.8,0.376,18.3,2.0,6.2,0.314,0.421
1610612756,PHX,Phoenix Suns,82,19,63,242.4,8.7,23.6,0.37,20.1,2.7,8.8,0.305,0.427
1610612757,POR,Portland Trail Blazers,82,53,29,242.1,11.4,27.4,0.416,26.8,4.0,11.2,0.355,0.488
1610612758,SAC,Sacramento Kings,82,39,43,240.6,9.6,26.1,0.369,22.5,3.3,9.7,0.337,0.431
1610612759,SAS,San Antonio Spurs,82,48,34,241.5,12.2,29.8,0.409,26.7,2.3,6.6,0.347,0.448
1610612761,TOR,Toronto Raptors,82,58,24,242.4,7.2,19.7,0.367,17.0,2.5,8.2,0.308,0.431
1610612762,UTA,Utah Jazz,82,50,32,240.9,6.8,19.1,0.358,16.9,3.2,9.5,0.332,0.44
1610612764,WAS,Washington Wizards,82,32,50,243.0,7.8,21.4,0.367,18.0,2.3,7.6,0.301,0.421
1610612737,ATL,Atlanta Hawks,82,24,58,240.3,7.5,19.8,0.38,17.3,2.3,7.3,0.316,0.439
