SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22020,1610612746,LAC,LA Clippers,Handoff,Offensive,0.103,72,0.034,0.858,0.387,0.062,0.1,0.058,0.015,0.377,0.441,3.6,3.1,1.2,3.1,1.9
22020,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.0,72,0.034,0.792,0.344,0.109,0.131,0.095,0.004,0.369,0.397,3.8,3.0,1.0,2.9,1.9
22019,1610612748,MIA,Miami Heat,Handoff,Offensive,0.966,73,0.088,1.066,0.438,0.077,0.094,0.066,0.019,0.427,0.554,9.6,10.2,3.5,8.1,4.6
22019,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.345,73,0.073,0.889,0.405,0.059,0.089,0.052,0.008,0.397,0.461,8.1,7.2,2.8,7.0,4.2
22019,1610612749,MIL,Milwaukee Bucks,Handoff,Offensive,0.931,73,0.054,1.063,0.439,0.07,0.072,0.065,0.011,0.436,0.554,6.3,6.7,2.4,5.5,3.1
22019,1610612744,GSW,Golden State Warriors,Handoff,Offensive,0.483,65,0.07,0.912,0.391,0.094,0.113,0.082,0.023,0.39,0.464,7.9,7.2,2.5,6.4,3.9
22019,1610612753,ORL,Orlando Magic,Handoff,Offensive,0.69,73,0.061,0.951,0.425,0.09,0.118,0.082,0.02,0.412,0.504,6.7,6.4,2.3,5.5,3.1
22019,1610612763,MEM,Memphis Grizzlies,Handoff,Offensive,0.241,73,0.064,0.86,0.376,0.067,0.09,0.064,0.011,0.375,0.448,7.3,6.3,2.3,6.2,3.9
22019,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.103,67,0.069,0.841,0.381,0.1,0.156,0.089,0.019,0.37,0.445,8.1,6.8,2.3,6.1,3.8
22019,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,1.0,71,0.053,1.066,0.439,0.1,0.066,0.097,0.021,0.453,0.514,5.9,6.3,2.2,5.1,2.8
22019,1610612750,MIN,Minnesota Timberwolves,Handoff,Offensive,0.31,64,0.068,0.883,0.388,0.097,0.111,0.091,0.02,0.387,0.461,7.9,7.0,2.5,6.4,3.9
