TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
1610612743,DEN,Denver Nuggets,73,46,27,243.1,111.3,427.3,244.2,21.5,3.02,2.14,0.26,15.6,13.8,24.7,0.538,0.526,0.909
1610612765,DET,Detroit Pistons,65,20,45,241.9,107.2,409.6,223.8,21.8,3.19,2.4,0.262,11.2,7.6,23.1,0.575,0.682,0.877
1610612744,GSW,Golden State Warriors,65,15,50,241.9,106.3,456.5,260.9,20.6,2.71,1.94,0.233,12.6,11.5,21.3,0.454,0.405,0.838
1610612745,HOU,Houston Rockets,72,44,28,241.4,117.8,369.0,167.3,19.8,3.22,2.59,0.319,7.4,2.2,17.6,0.552,0.456,0.789
1610612754,IND,Indiana Pacers,73,45,28,241.4,109.4,416.0,222.5,21.1,3.04,2.41,0.263,13.9,8.4,19.8,0.654,0.511,0.897
1610612746,LAC,LA Clippers,72,49,23,241.4,116.3,396.7,203.2,20.7,3.13,2.31,0.293,9.3,10.4,21.1,0.627,0.607,0.886
1610612747,LAL,Los Angeles Lakers,71,52,19,240.7,113.4,407.4,213.8,20.2,2.98,2.11,0.278,11.5,14.3,26.5,0.566,0.47,0.954
1610612763,MEM,Memphis Grizzlies,73,34,39,240.7,112.6,431.0,234.5,20.6,2.87,2.02,0.261,11.6,8.2,25.2,0.676,0.628,0.944
1610612748,MIA,Miami Heat,72,44,28,243.1,112.1,413.5,222.2,21.8,3.16,2.26,0.271,15.1,8.1,22.8,0.519,0.382,0.851
1610612749,MIL,Milwaukee Bucks,72,55,17,241.0,118.7,406.9,209.1,20.0,2.95,2.11,0.292,12.1,10.7,20.7,0.644,0.654,0.897
1610612750,MIN,Minnesota Timberwolves,64,19,45,243.1,113.3,433.3,233.3,20.8,2.88,2.12,0.261,8.5,7.4,19.8,0.516,0.502,0.866
1610612740,NOP,New Orleans Pelicans,71,30,41,241.8,115.7,446.2,245.2,19.9,2.67,1.9,0.259,10.8,6.5,22.4,0.63,0.476,0.843
1610612752,NYK,New York Knicks,66,21,45,241.9,105.8,422.6,236.2,21.1,3.0,2.22,0.25,10.8,11.4,23.4,0.568,0.588,0.948
1610612760,OKC,Oklahoma City Thunder,72,44,28,242.1,110.4,407.5,215.0,21.3,3.14,2.3,0.271,10.8,7.1,20.6,0.525,0.55,0.815
1610612753,ORL,Orlando Magic,73,33,40,240.7,107.3,392.7,210.9,21.3,3.26,2.58,0.273,13.6,11.4,24.8,0.502,0.454,0.794
1610612755,PHI,Philadelphia 76ers,73,43,30,241.0,110.7,421.8,233.6,21.6,3.07,2.19,0.263,16.4,17.0,22.4,0.371,0.629,0.866
1610612756,PHX,Phoenix Suns,72,34,38,240.7,113.5,416.1,224.4,20.9,3.02,2.25,0.273,15.6,8.6,26.4,0.51,0.579,0.875
1610612757,POR,Portland Trail Blazers,73,34,39,241.0,115.0,366.9,171.2,21.6,3.54,2.68,0.313,9.5,9.1,19.4,0.609,0.654,0.911
1610612758,SAC,Sacramento Kings,71,31,40,242.5,110.1,405.9,212.6,21.3,3.15,2.42,0.271,10.8,9.8,21.3,0.567,0.437,0.935
1610612759,SAS,San Antonio Spurs,70,31,39,242.1,114.0,401.0,210.8,21.0,3.14,2.38,0.284,9.0,11.8,16.5,0.553,0.536,0.839
1610612761,TOR,Toronto Raptors,71,52,19,241.4,112.7,415.9,223.1,20.6,2.97,2.21,0.271,12.0,8.3,21.6,0.546,0.46,0.805
1610612762,UTA,Utah Jazz,72,44,28,241.0,111.3,417.2,227.1,21.4,3.08,2.31,0.267,8.4,2.4,19.4,0.592,0.584,0.94
1610612764,WAS,Washington Wizards,72,25,47,241.0,114.4,433.0,240.8,20.4,2.83,2.19,0.264,10.0,3.3,21.0,0.7,0.523,0.858
1610612737,ATL,Atlanta Hawks,82,29,53,242.1,113.3,431.7,233.6,20.7,2.88,2.21,0.263,10.6,4.5,27.4,0.521,0.643,0.917
1610612738,BOS,Boston Celtics,82,49,33,241.2,112.4,419.4,229.7,20.1,2.87,2.11,0.268,12.0,10.1,22.5,0.52,0.591,0.805
1610612751,BKN,Brooklyn Nets,82,42,40,243.7,112.2,436.3,236.2,21.4,2.94,2.22,0.257,10.9,2.2,22.2,0.573,0.407,0.835
1610612766,CHA,Charlotte Hornets,82,39,43,241.8,110.7,412.2,219.7,21.2,3.09,2.49,0.269,9.4,3.7,20.1,0.5,0.534,0.843
1610612741,CHI,Chicago Bulls,81,22,59,242.8,105.1,406.0,218.1,21.2,3.14,2.42,0.259,12.1,10.7,18.8,0.521,0.565,0.831
1610612739,CLE,Cleveland Cavaliers,82,19,63,240.9,104.5,404.9,220.8,22.1,3.28,2.5,0.258,15.8,9.3,22.6,0.338,0.383,0.808
1610612742,DAL,Dallas Mavericks,82,33,49,241.2,108.9,437.5,239.4,21.5,2.95,2.18,0.249,13.0,8.9,23.2,0.369,0.585,0.836
1610612743,DEN,Denver Nuggets,82,54,28,240.6,110.7,436.3,254.9,21.1,2.91,2.09,0.254,14.6,15.7,25.9,0.487,0.503,0.8
1610612765,DET,Detroit Pistons,82,41,41,242.1,107.0,431.0,245.1,22.0,3.07,2.34,0.248,9.9,13.1,24.4,0.427,0.48,0.829
1610612744,GSW,Golden State Warriors,82,57,25,241.5,117.7,444.8,248.8,19.4,2.62,1.83,0.265,14.2,17.4,23.2,0.522,0.373,0.843
1610612745,HOU,Houston Rockets,82,53,29,241.8,113.9,366.7,170.9,21.3,3.48,2.75,0.311,9.4,3.9,21.0,0.611,0.589,0.855
1610612754,IND,Indiana Pacers,82,48,34,240.3,108.0,428.4,239.6,20.9,2.93,2.26,0.252,15.4,13.8,23.1,0.67,0.494,0.875
1610612746,LAC,LA Clippers,82,48,34,241.8,115.1,429.2,234.7,21.1,2.95,2.15,0.268,12.2,11.2,24.6,0.583,0.59,0.932
1610612747,LAL,Los Angeles Lakers,82,37,45,241.2,111.8,404.2,201.1,20.3,3.01,2.16,0.277,14.0,8.2,25.4,0.592,0.526,0.9
1610612763,MEM,Memphis Grizzlies,82,33,49,242.4,103.5,449.9,265.5,22.0,2.93,2.07,0.23,19.0,13.8,26.4,0.442,0.542,0.815
1610612748,MIA,Miami Heat,82,39,43,240.6,105.7,425.2,229.1,21.4,3.02,2.24,0.249,13.5,7.9,26.2,0.377,0.443,0.866
1610612749,MIL,Milwaukee Bucks,82,60,22,241.2,118.1,410.2,215.6,20.3,2.97,2.19,0.288,9.2,8.3,20.6,0.594,0.551,0.9
1610612750,MIN,Minnesota Timberwolves,82,36,46,241.8,112.5,417.3,221.8,21.4,3.07,2.24,0.27,11.9,19.7,23.1,0.607,0.539,0.91
1610612740,NOP,New Orleans Pelicans,82,33,49,240.9,115.4,439.0,243.2,20.2,2.76,2.01,0.263,13.2,14.0,27.1,0.647,0.559,0.939
1610612752,NYK,New York Knicks,81,17,64,241.2,104.6,418.3,228.2,21.3,3.05,2.27,0.25,9.6,9.0,19.0,0.451,0.477,0.939
1610612760,OKC,Oklahoma City Thunder,81,48,33,242.2,114.4,372.3,177.7,19.4,3.13,2.38,0.307,13.7,10.3,27.8,0.549,0.601,0.81
1610612753,ORL,Orlando Magic,80,40,40,241.2,107.6,405.5,223.5,21.4,3.16,2.51,0.265,14.3,13.4,24.7,0.549,0.493,0.866
1610612755,PHI,Philadelphia 76ers,81,51,30,241.5,115.2,443.0,246.1,20.7,2.81,1.92,0.26,16.7,15.7,25.3,0.437,0.584,0.877
1610612756,PHX,Phoenix Suns,82,19,63,242.4,107.5,429.6,229.2,21.4,2.98,2.22,0.25,13.0,8.2,23.4,0.565,0.612,0.955
