TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1610612752,NYK,New York Knicks,82,37,45,242.1,28.1,4.9,11.1,0.442,3.5,4.5,0.763,13.7,0.488,9.1,0.322,3.0,0.105,2.2,0.077,2.3,0.082
1610612760,OKC,Oklahoma City Thunder,82,59,23,241.5,31.8,6.7,14.5,0.466,4.8,5.7,0.843,18.8,0.591,8.4,0.265,3.0,0.094,2.4,0.074,2.9,0.092
1610612753,ORL,Orlando Magic,82,23,59,243.4,33.4,5.7,13.5,0.419,3.9,5.1,0.77,15.8,0.474,10.9,0.327,3.0,0.089,2.6,0.078,2.6,0.077
1610612755,PHI,Philadelphia 76ers,82,19,63,242.1,42.6,8.2,20.0,0.411,4.9,6.9,0.71,21.9,0.515,11.7,0.275,3.1,0.072,3.2,0.076,3.5,0.083
1610612756,PHX,Phoenix Suns,82,48,34,240.9,36.1,6.7,14.7,0.457,3.8,5.1,0.744,17.6,0.489,12.3,0.341,3.3,0.092,2.6,0.071,2.6,0.072
1610612757,POR,Portland Trail Blazers,82,54,28,242.1,27.8,4.9,11.5,0.427,3.9,4.7,0.826,14.0,0.505,8.5,0.308,2.9,0.105,1.8,0.064,2.4,0.087
1610612758,SAC,Sacramento Kings,81,28,53,241.9,33.1,6.6,15.3,0.434,4.4,5.3,0.822,18.3,0.553,9.3,0.28,2.6,0.077,2.6,0.078,2.8,0.084
1610612759,SAS,San Antonio Spurs,82,62,20,240.9,35.7,6.7,13.7,0.487,3.2,3.9,0.807,16.8,0.47,12.8,0.359,3.8,0.108,2.4,0.067,2.0,0.055
1610612761,TOR,Toronto Raptors,81,47,34,243.4,38.1,6.4,15.0,0.43,4.4,5.4,0.819,17.7,0.464,13.0,0.339,3.9,0.102,2.6,0.069,2.8,0.072
1610612762,UTA,Utah Jazz,82,25,57,241.2,33.2,5.5,13.1,0.415,3.3,4.3,0.753,14.8,0.446,11.4,0.343,3.2,0.096,2.3,0.068,2.2,0.067
1610612764,WAS,Washington Wizards,81,44,37,244.6,27.4,4.1,9.8,0.416,3.1,4.1,0.743,11.6,0.423,9.7,0.354,2.8,0.102,2.3,0.084,2.1,0.076
